wave flux fluxerr
2982.45539250965 1.2372206924105226e-20 3.8853158637784535e-21
2990.123634750386 1.849711226378767e-20 3.900987426310839e-21
2997.7714400701334 1.989965175364994e-20 3.7143146068211725e-21
3005.3989526010782 9.81818495053715e-21 3.75595903068587e-21
3013.0063152344496 1.024043894731108e-20 3.734888774007979e-21
3020.593669632706 1.513776521744449e-21 3.720933025957838e-21
3028.1611562413473 1.4768624665998432e-20 3.942878112858626e-21
3035.708914300562 1.1724232035028134e-20 3.964408813311753e-21
3043.237081857256 1.7676877803699837e-21 3.917630427924132e-21
3050.7457957763263 7.192679764782814e-21 4.1620017112604364e-21
3058.2351917525093 1.4225844386105943e-20 4.2463293531208066e-21
3065.705404321427 8.644572503501567e-21 4.004438155210617e-21
3073.156566871235 1.5128365316270064e-20 3.987725177588226e-21
3080.5888116535257 1.042350851448208e-20 4.184033410306631e-21
3088.4713147110033 5.053855473217521e-21 4.242361327187675e-21
3095.864938637826 1.1026481078410081e-20 4.235234581507787e-21
3103.2400518742043 1.432561522424788e-20 4.213931665889873e-21
3110.596782058674 1.519251833986325e-20 4.218171267205169e-21
3117.935255749732 2.006460543501845e-20 4.28426919706212e-21
3125.255577035722 2.6243620704623533e-20 4.3644809843473765e-21
3132.557789616538 1.971663156677457e-20 4.21951862054899e-21
3139.8421081173256 1.3177560343332708e-20 4.1914904609672764e-21
3147.1086550170157 2.2158013192997278e-20 4.305111392138108e-21
3154.357551764932 1.2756909580007992e-20 4.3397546382495854e-21
3161.5889187910525 1.0777322929023879e-20 4.1931317734097756e-21
3168.8028755158266 7.513814676108977e-21 4.336339124215523e-21
3175.9995403602766 4.931400530544574e-21 4.3938488945960134e-21
3183.1790307556403 4.811333811703196e-21 4.2595187362710106e-21
3190.341463153332 1.3991503271376934e-20 4.356223122014898e-21
3197.4869530344436 1.3548358026527021e-20 4.4878895557914196e-21
3204.615431833258 1.1434648424955444e-20 4.436293130641169e-21
3211.7271410018047 1.3755179594741813e-20 4.346907770273594e-21
3218.8221272045434 1.6047989043787723e-20 4.365864407751301e-21
3225.9004659807683 1.0856646034065354e-20 4.37240349055949e-21
3232.9624068878443 6.320035194800426e-21 4.788635183075965e-21
3240.0080600127135 2.7319714570864976e-21 5.080796605472115e-21
3247.037534533887 1.0645280756209916e-20 4.47988239722094e-21
3254.050938730665 5.883708373470948e-21 4.643950487804292e-21
3261.0483366291355 3.471759535248709e-21 6.237186229831961e-21
3268.029605735831 6.811498325668891e-21 5.9043570257352e-21
3274.9949719042543 2.022336072213911e-20 6.268968936563176e-21
3281.944491977122 4.991913528368955e-21 4.7402420460446974e-21
3288.8784531708766 6.082725731390867e-21 4.688376105686096e-21
3295.796958760344 1.0755707408533905e-20 4.73479342807273e-21
3303.1355420340146 1.3583761075268577e-20 5.001223655410985e-21
3310.0223431970912 8.353964765486078e-21 5.0100462741048364e-21
3316.893996033154 8.850327902448768e-21 5.278228628782173e-21
3323.749827734409 5.689411278394625e-22 5.33101290304058e-21
3330.590696700365 4.4131150264619e-21 7.645800486888764e-21
3337.416701444132 2.544600700581113e-21 7.113565389237054e-21
3344.227939683139 2.9218992683823642e-21 6.7665050095650805e-21
3351.0245083469126 1.4223241482514277e-20 6.7189294642244934e-21
3357.8061222067013 1.3114882730664959e-20 5.530799255932541e-21
3364.572762935057 5.543766747311011e-21 5.478331497523443e-21
3371.3250058301555 7.898442620592363e-21 5.4922491398248925e-21
3378.062944926747 5.649705680242158e-21 5.24913580483601e-21
3384.7866735072334 7.98496422443014e-21 5.017111444774627e-21
3391.4958560287228 9.995674960359585e-21 5.241512095381097e-21
3398.190484549889 1.0510392155339387e-20 5.215307722487686e-21
3404.87116445569 6.7495950449985006e-21 6.963318498844837e-21
3411.5379862616696 1.1189275876561247e-20 6.917909906329447e-21
3418.1910397649217 9.508391429197266e-21 6.827107486313066e-21
3424.8295172119033 1.0227786893921798e-20 5.4391494248030175e-21
3431.4542696693693 -4.251640977211605e-21 7.824019722261858e-21
3438.065506309162 3.768876801807103e-21 8.142392757281064e-21
3444.663314283559 6.319593876867886e-21 8.050046979099054e-21
3451.247103426619 6.780724505974021e-21 5.360056642287608e-21
3457.81722284527 3.979319835446218e-21 5.6378684673622064e-21
